[40]rt_x,[40]rt_z,[41]rt_x,[41]rt_z,[42]rt_x,[44]rt_x,[44]rt_z,[45]rt_z,[46]rt_z,[48]rt_z,[49]rt_z,[50]rt_z,[52]rt_x,[52]rt_z,[53]rt_z,[54]rt_z,[56]rt_x,[56]rt_z,[57]rt_z,[58]rt_z,FingersNumber
-21.99109,-62.09942,30.55073,-14.21523,-22.39592,-15,-99.92917,-12.63615,-6.318076,-68.87201,-68.87201,-68.87201,15,-1.362979,-1.362979,-1.362979,25,-42.37,-42.37,-42.37,1
-21.97045,-62.09647,30.59202,-14.21227,-22.18441,-15,-100.009,-12.63002,-6.315011,-68.87216,-68.87216,-68.87216,15,-1.284504,-1.284504,-1.284504,25,-42.02996,-42.02996,-42.02996,1
-21.94241,-62.12556,30.64813,-14.24136,-21.91552,-15,-100.0948,-12.64062,-6.320309,-68.86714,-68.86714,-68.86714,15,-1.181672,-1.181672,-1.181672,25,-41.85366,-41.85366,-41.85366,1
-21.90547,-62.17649,30.722,-14.29229,-21.6953,-15,-100.2276,-12.68709,-6.343544,-68.9667,-68.9667,-68.9667,15,-1.09373,-1.09373,-1.09373,25,-41.69062,-41.69062,-41.69062,1
-21.86121,-62.2232,30.81055,-14.339,-21.52044,-15,-100.3493,-12.69081,-6.345407,-69.06398,-69.06398,-69.06398,15,-1.026303,-1.026303,-1.026303,25,-41.63247,-41.63247,-41.63247,1
-21.80738,-62.26226,30.91818,-14.37808,-21.39723,-15,-100.4075,-12.71383,-6.356917,-69.064,-69.064,-69.064,15,-0.9656034,-0.9656034,-0.9656034,25,-41.64952,-41.64952,-41.64952,1
-21.7674,-62.28802,30.99815,-14.40384,-21.19506,-15,-100.4657,-12.67641,-6.338205,-69.02455,-69.02455,-69.02455,15,-0.8817394,-0.8817394,-0.8817394,25,-41.53323,-41.53323,-41.53323,1
-21.75079,-62.30293,31.03137,-14.41875,-20.90938,-15,-100.5482,-12.6246,-6.3123,-68.83744,-68.83744,-68.83744,15,-0.7843379,-0.7843379,-0.7843379,25,-41.53323,-41.53323,-41.53323,1
-21.77571,-62.28313,30.98155,-14.39894,-20.28472,-15,-100.596,-12.49912,-6.249558,-68.81149,-68.81149,-68.81149,15,-0.6375643,-0.6375643,-0.6375643,25,-41.4346,-41.4346,-41.4346,1
-21.81232,-62.25978,30.90833,-14.37559,-19.43905,-15,-100.6109,-12.33608,-6.16804,-68.80621,-68.80621,-68.80621,15,-0.5999951,-0.5999951,-0.5999951,25,-41.36486,-41.36486,-41.36486,1
-21.86567,-62.2232,30.80162,-14.33902,-18.6005,-15,-100.654,-12.15644,-6.078221,-68.79235,-68.79235,-68.79235,15,-0.5545521,-0.5545521,-0.5545521,25,-41.20596,-41.20596,-41.20596,1
-21.92998,-62.17889,30.67303,-14.29469,-17.82868,-15,-100.6866,-12.19233,-6.096167,-68.74086,-68.74086,-68.74086,15,-0.33069,-0.33069,-0.33069,25,-41.18667,-41.18667,-41.18667,1
